id,accession,organism,collection_date,country,host,isolation_source,coded_by,protein_id,taxon_id,isolate
1229,BBO58717.1,Human coronavirus OC43,2009-02-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506763.1:1..>2301,1,655,HCoV-OC43/Yamagata.JPN/09.2009-0623
1230,BBO58716.1,Human coronavirus OC43,2009-02-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506762.1:1..>2301,1,655,HCoV-OC43/Yamagata.JPN/08.2009-0554
1231,BBO58715.1,Human coronavirus OC43,2009-02-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506761.1:1..>2301,1,655,HCoV-OC43/Yamagata.JPN/07.2009-0536
1232,BBO58714.1,Human coronavirus OC43,2009-02-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506760.1:1..>2301,1,655,HCoV-OC43/Yamagata.JPN/07.2009-0469
1233,BBO58713.1,Human coronavirus OC43,2009-02-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506759.1:1..>2301,1,655,HCoV-OC43/Yamagata.JPN/07.2009-0467
1234,BBO58712.1,Human coronavirus OC43,2009-01-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506758.1:1..>2301,1,655,HCoV-OC43/Yamagata.JPN/05.2009-0292
1235,BBO58711.1,Human coronavirus OC43,2009-01-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506757.1:1..>2301,1,655,HCoV-OC43/Yamagata.JPN/03.2009-0118
1236,BBO58710.1,Human coronavirus OC43,2009-01-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506756.1:1..>2301,1,655,HCoV-OC43/Yamagata.JPN/02.2009-0063
1237,BBO58709.1,Human coronavirus OC43,2009-01-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506755.1:1..>2301,1,655,HCoV-OC43/Yamagata.JPN/02.2009-0058
1238,BBO58905.1,Human coronavirus OC43,2017-03-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506951.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/10.2017-0491
1239,BBO58904.1,Human coronavirus OC43,2015-01-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506950.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/05.2015-0285
1240,BBO58903.1,Human coronavirus OC43,2017-12-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506949.1:1..>2301,1,655,HCoV-OC43/Yamagata.JPN/51.2017-2652
1241,BBO58902.1,Human coronavirus OC43,2017-12-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506948.1:1..>2301,1,655,HCoV-OC43/Yamagata.JPN/51.2017-2650
1242,BBO58901.1,Human coronavirus OC43,2017-12-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506947.1:1..>2301,1,655,HCoV-OC43/Yamagata.JPN/50.2017-2568
1243,BBO58900.1,Human coronavirus OC43,2017-12-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506946.1:1..>2301,1,655,HCoV-OC43/Yamagata.JPN/48.2017-2515
1244,BBO58899.1,Human coronavirus OC43,2017-06-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506945.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/26.2017-1566
1245,BBO58898.1,Human coronavirus OC43,2017-05-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506944.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/20.2017-1370
1246,BBO58897.1,Human coronavirus OC43,2017-04-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506943.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/16.2017-1199
1247,BBO58896.1,Human coronavirus OC43,2017-04-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506942.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/14.2017-0959
1248,BBO58895.1,Human coronavirus OC43,2017-03-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506941.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/12.2017-0751
1249,BBO58894.1,Human coronavirus OC43,2017-03-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506940.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/12.2017-0642
1250,BBO58893.1,Human coronavirus OC43,2017-03-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506939.1:1..>2301,1,655,HCoV-OC43/Yamagata.JPN/12.2017-0640
1251,BBO58892.1,Human coronavirus OC43,2017-03-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506938.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/11.2017-0634
1252,BBO58891.1,Human coronavirus OC43,2017-03-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506937.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/11.2017-0521
1253,BBO58890.1,Human coronavirus OC43,2017-03-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506936.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/10.2017-0516
1254,BBO58889.1,Human coronavirus OC43,2017-03-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506935.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/09.2017-0482
1255,BBO58888.1,Human coronavirus OC43,2017-03-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506934.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/09.2017-0480
1256,BBO58887.1,Human coronavirus OC43,2017-03-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506933.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/09.2017-0478
1257,BBO58886.1,Human coronavirus OC43,2017-02-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506932.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/09.2017-0411
1258,BBO58885.1,Human coronavirus OC43,2017-02-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506931.1:1..>2292,1,655,HCoV-OC43/Yamagata.JPN/09.2017-0410
1259,BBO58884.1,Human coronavirus OC43,2017-02-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506930.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/08.2017-0379
1260,BBO58883.1,Human coronavirus OC43,2017-02-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506929.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/08.2017-0375
1261,BBO58882.1,Human coronavirus OC43,2017-02-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506928.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/08.2017-0364
1262,BBO58881.1,Human coronavirus OC43,2017-02-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506927.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/07.2017-0362
1263,BBO58880.1,Human coronavirus OC43,2017-02-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506926.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/07.2017-0361
1264,BBO58879.1,Human coronavirus OC43,2017-02-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506925.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/07.2017-0354
1265,BBO58878.1,Human coronavirus OC43,2017-02-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506924.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/07.2017-0314
1266,BBO58877.1,Human coronavirus OC43,2017-02-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506923.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/07.2017-0306
1267,BBO58876.1,Human coronavirus OC43,2017-02-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506922.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/07.2017-0305
1268,BBO58875.1,Human coronavirus OC43,2017-02-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506921.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/07.2017-0304
1269,BBO58874.1,Human coronavirus OC43,2017-02-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506920.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/06.2017-0300
1270,BBO58873.1,Human coronavirus OC43,2017-02-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506919.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/06.2017-0266
1271,BBO58872.1,Human coronavirus OC43,2017-02-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506918.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/05.2017-0247
1272,BBO58871.1,Human coronavirus OC43,2017-01-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506917.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/05.2017-0193
1273,BBO58870.1,Human coronavirus OC43,2015-05-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506916.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/19.2015-0902
1274,BBO58869.1,Human coronavirus OC43,2015-03-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506915.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/13.2015-0693
1275,BBO58868.1,Human coronavirus OC43,2015-03-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506914.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/11.2015-0604
1276,BBO58867.1,Human coronavirus OC43,2015-02-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506913.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/09.2015-0492
1277,BBO58866.1,Human coronavirus OC43,2015-02-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506912.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/08.2015-0486
1278,BBO58865.1,Human coronavirus OC43,2015-02-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506911.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/08.2015-0434
1279,BBO58864.1,Human coronavirus OC43,2015-02-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506910.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/08.2015-0433
1280,BBO58863.1,Human coronavirus OC43,2015-02-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506909.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/07.2015-0425
1281,BBO58862.1,Human coronavirus OC43,2015-02-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506908.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/07.2015-0424
1282,BBO58861.1,Human coronavirus OC43,2015-02-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506907.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/07.2015-0418
1283,BBO58860.1,Human coronavirus OC43,2015-02-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506906.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/07.2015-0417
1284,BBO58859.1,Human coronavirus OC43,2015-02-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506905.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/07.2015-0416
1285,BBO58858.1,Human coronavirus OC43,2015-02-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506904.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/07.2015-0373
1286,BBO58857.1,Human coronavirus OC43,2015-02-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506903.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/07.2015-0369
1287,BBO58856.1,Human coronavirus OC43,2015-02-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506902.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/07.2015-0368
1288,BBO58855.1,Human coronavirus OC43,2015-02-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506901.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/07.2015-0361
1289,BBO58854.1,Human coronavirus OC43,2015-02-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506900.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/06.2015-0359
1290,BBO58853.1,Human coronavirus OC43,2015-02-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506899.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/07.2015-0353
1291,BBO58852.1,Human coronavirus OC43,2015-02-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506898.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/06.2015-0351
1292,BBO58851.1,Human coronavirus OC43,2015-02-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506897.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/06.2015-0303
1293,BBO58850.1,Human coronavirus OC43,2015-02-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506896.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/06.2015-0301
1294,BBO58849.1,Human coronavirus OC43,2015-02-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506895.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/06.2015-0300
1295,BBO58848.1,Human coronavirus OC43,2015-02-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506894.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/06.2015-0297
1296,BBO58847.1,Human coronavirus OC43,2015-02-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506893.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/06.2015-0294
1297,BBO58846.1,Human coronavirus OC43,2015-02-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506892.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/06.2015-0291
1298,BBO58845.1,Human coronavirus OC43,2015-02-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506891.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/06.2015-0290
1299,BBO58844.1,Human coronavirus OC43,2015-01-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506890.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/05.2015-0288
1300,BBO58843.1,Human coronavirus OC43,2015-01-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506889.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/05.2015-0287
1301,BBO58842.1,Human coronavirus OC43,2015-01-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506888.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/05.2015-0284
1302,BBO58841.1,Human coronavirus OC43,2015-01-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506887.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/05.2015-0282
1303,BBO58840.1,Human coronavirus OC43,2015-01-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506886.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/05.2015-0279
1304,BBO58839.1,Human coronavirus OC43,2015-01-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506885.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/05.2015-0275
1305,BBO58838.1,Human coronavirus OC43,2015-01-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506884.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/05.2015-0236
1306,BBO58837.1,Human coronavirus OC43,2015-01-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506883.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/05.2015-0235
1307,BBO58836.1,Human coronavirus OC43,2015-01-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506882.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/05.2015-0233
1308,BBO58835.1,Human coronavirus OC43,2015-01-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506881.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/05.2015-0232
1309,BBO58834.1,Human coronavirus OC43,2015-01-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506880.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/05.2015-0230
1310,BBO58833.1,Human coronavirus OC43,2015-01-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506879.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/05.2015-0229
1311,BBO58832.1,Human coronavirus OC43,2015-01-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506878.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/05.2015-0228
1312,BBO58831.1,Human coronavirus OC43,2015-01-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506877.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/05.2015-0225
1313,BBO58830.1,Human coronavirus OC43,2015-01-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506876.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/05.2015-0224
1314,BBO58829.1,Human coronavirus OC43,2015-01-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506875.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/05.2015-0223
1315,BBO58828.1,Human coronavirus OC43,2015-01-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506874.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/05.2015-0220
1316,BBO58827.1,Human coronavirus OC43,2015-01-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506873.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/05.2015-0218
1317,BBO58826.1,Human coronavirus OC43,2015-01-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506872.1:1..>2301,1,655,HCoV-OC43/Yamagata.JPN/05.2015-0216
1318,BBO58825.1,Human coronavirus OC43,2015-01-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506871.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/05.2015-0215
1319,BBO58824.1,Human coronavirus OC43,2015-01-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506870.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/04.2015-0213
1320,BBO58823.1,Human coronavirus OC43,2015-01-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506869.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/04.2015-0211
1321,BBO58822.1,Human coronavirus OC43,2015-01-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506868.1:1..>2301,1,655,HCoV-OC43/Yamagata.JPN/04.2015-0210
1322,BBO58821.1,Human coronavirus OC43,2015-01-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506867.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/04.2015-0209
1323,BBO58820.1,Human coronavirus OC43,2015-01-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506866.1:1..>2301,1,655,HCoV-OC43/Yamagata.JPN/04.2015-0159
1324,BBO58819.1,Human coronavirus OC43,2015-01-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506865.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/04.2015-0158
1325,BBO58818.1,Human coronavirus OC43,2015-01-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506864.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/04.2015-0155
1326,BBO58817.1,Human coronavirus OC43,2015-01-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506863.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/04.2015-0154
1327,BBO58816.1,Human coronavirus OC43,2015-01-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506862.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/04.2015-0152
1328,BBO58815.1,Human coronavirus OC43,2015-01-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506861.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/04.2015-0151
1329,BBO58814.1,Human coronavirus OC43,2015-01-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506860.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/04.2015-0147
1330,BBO58813.1,Human coronavirus OC43,2015-01-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506859.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/04.2015-0144
1331,BBO58812.1,Human coronavirus OC43,2015-01-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506858.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/04.2015-0142
1332,BBO58811.1,Human coronavirus OC43,2015-01-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506857.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/04.2015-0140
1333,BBO58810.1,Human coronavirus OC43,2015-01-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506856.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/04.2015-0137
1334,BBO58809.1,Human coronavirus OC43,2015-01-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506855.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/03.2015-0136
1335,BBO58808.1,Human coronavirus OC43,2015-01-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506854.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/03.2015-0134
1336,BBO58807.1,Human coronavirus OC43,2015-01-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506853.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/03.2015-0131
1337,BBO58806.1,Human coronavirus OC43,2015-01-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506852.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/03.2015-0130
1338,BBO58805.1,Human coronavirus OC43,2015-01-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506851.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/03.2015-0129
1339,BBO58804.1,Human coronavirus OC43,2015-01-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506850.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/03.2015-0128
1340,BBO58803.1,Human coronavirus OC43,2015-01-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506849.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/03.2015-0101
1341,BBO58802.1,Human coronavirus OC43,2015-01-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506848.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/03.2015-0093
1342,BBO58801.1,Human coronavirus OC43,2015-01-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506847.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/03.2015-0088
1343,BBO58800.1,Human coronavirus OC43,2015-01-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506846.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/03.2015-0086
1344,BBO58799.1,Human coronavirus OC43,2015-01-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506845.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/02.2015-0077
1345,BBO58798.1,Human coronavirus OC43,2014-12-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506844.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/53.2014-2422
1346,BBO58797.1,Human coronavirus OC43,2014-12-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506843.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/52.2014-2419
1347,BBO58796.1,Human coronavirus OC43,2014-12-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506842.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/52.2014-2417
1348,BBO58795.1,Human coronavirus OC43,2014-11-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506841.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/46.2014-2103
1349,BBO58794.1,Human coronavirus OC43,2014-02-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506840.1:1..>2301,1,655,HCoV-OC43/Yamagata.JPN/08.2014-0485
1350,BBO58793.1,Human coronavirus OC43,2014-02-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506839.1:1..>2301,1,655,HCoV-OC43/Yamagata.JPN/08.2014-0484
1351,BBO58792.1,Human coronavirus OC43,2014-02-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506838.1:1..>2301,1,655,HCoV-OC43/Yamagata.JPN/07.2014-0446
1352,BBO58791.1,Human coronavirus OC43,2014-02-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506837.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/08.2014-0436
1353,BBO58790.1,Human coronavirus OC43,2014-02-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506836.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/08.2014-0435
1354,BBO58789.1,Human coronavirus OC43,2014-02-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506835.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/08.2014-0434
1355,BBO58788.1,Human coronavirus OC43,2014-02-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506834.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/08.2014-0432
1356,BBO58787.1,Human coronavirus OC43,2014-02-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506833.1:1..>2301,1,655,HCoV-OC43/Yamagata.JPN/07.2014-0380
1357,BBO58786.1,Human coronavirus OC43,2014-02-01 00:00:00,Japan:Yamagata,Homo sapiens,nasopharyngeal swab,LC506832.1:1..>2289,1,655,HCoV-OC43/Yamagata.JPN/06.2014-0378
